,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District,lat,lon
4716,516.0,1.0,3603600.0,28.6,18.0,,18.61,7.0,1.0,1.0,0.0,1.0,5.0,8.0,1.0,5.0,55.599926,37.72539
4717,517.0,1.0,3660800.0,28.6,15.0,,18.61,10.0,1.0,1.0,0.0,1.0,6.0,19.0,1.0,5.0,55.599926,37.72539
4718,518.0,1.0,3700000.0,39.0,20.0,12.0,19.89,5.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4719,519.0,1.0,3750000.0,40.0,17.5,11.0,16.94,12.0,0.0,1.0,0.0,1.0,11.0,22.0,1.0,5.0,55.604896,37.653976
4720,520.0,1.0,3750000.0,31.0,20.0,6.0,17.91,7.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,5.0,55.595644,37.647046
4721,521.0,1.0,3786754.0,33.6,,,16.94,3.0,0.0,0.0,0.0,1.0,17.0,18.0,1.0,5.0,55.604896,37.653976
4722,522.0,2.0,3800000.0,40.0,40.0,,5.99,15.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4723,523.0,1.0,3800000.0,24.0,18.0,3.0,14.71,10.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,55.624749,37.648609
4724,524.0,2.0,3800000.0,40.0,40.0,,5.99,,,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4725,525.0,2.0,3800000.0,40.0,35.0,5.0,5.99,10.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4726,526.0,2.0,3800000.0,40.0,35.0,,5.99,,,0.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4727,527.0,2.0,3850000.0,39.0,19.0,12.0,19.89,,,0.0,0.0,1.0,10.0,10.0,0.0,5.0,55.578294,37.655841
4728,528.0,1.0,3866880.0,40.3,34.0,,16.94,3.0,0.0,0.0,0.0,1.0,3.0,20.0,1.0,5.0,55.604896,37.653976
4729,529.0,1.0,3900000.0,38.6,18.0,7.0,19.3,10.0,0.0,0.0,0.0,1.0,7.0,12.0,0.0,5.0,55.58354,37.655239
4730,530.0,1.0,3900000.0,35.0,28.0,,19.57,10.0,0.0,0.0,0.0,1.0,5.0,12.0,0.0,5.0,55.58177,37.663261
4731,531.0,1.0,3900000.0,33.0,19.0,6.0,19.88,,,0.0,0.0,1.0,9.0,9.0,0.0,5.0,55.578177,37.653191
4732,532.0,2.0,4000000.0,40.0,35.0,5.0,5.99,10.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,5.0,55.703464,37.640003
4733,533.0,3.0,34452600.0,136.0,69.0,15.0,5.0,8.0,1.0,1.0,0.0,1.0,4.0,16.0,1.0,5.0,55.711115,37.609063
4734,534.0,1.0,4900000.0,33.0,20.0,8.0,16.95,15.0,1.0,0.0,0.0,1.0,8.0,9.0,0.0,5.0,55.604519,37.584083
4735,535.0,1.0,2450000.0,25.0,25.0,,16.94,7.0,0.0,1.0,0.0,1.0,16.0,18.0,1.0,5.0,55.604896,37.653976
4736,536.0,1.0,2753955.0,25.1,,,16.94,3.0,0.0,0.0,0.0,1.0,6.0,18.0,1.0,5.0,55.604896,37.653976
4737,537.0,1.0,2764927.0,25.2,,,16.94,3.0,0.0,0.0,0.0,1.0,9.0,18.0,1.0,5.0,55.604896,37.653976
4738,538.0,1.0,2801074.0,25.6,,,16.94,3.0,0.0,0.0,0.0,1.0,8.0,18.0,1.0,5.0,55.604896,37.653976
4739,539.0,1.0,2830632.0,24.5,,,16.94,3.0,0.0,0.0,0.0,1.0,15.0,18.0,1.0,5.0,55.604896,37.653976
